id,site,smr,mmr,temp,mass,,,measurment,unit
R1,PE,1.82835,4.900864265,16,1.3239,,,smr,mg O2.min-1.kg-1
R10,PE,3.659782,6.380705113,20,0.85833,,,mmr,mg O2.min-1.kg-1
R11,TNP,1.858736,4.79238164,20,1.55513,,,temp,°C
R12,TNP,3.615065,6.604843373,20,0.83,,,mass,kg
R13,TNP,0.7703327,3.129476636,8,0.749,,,,
R14,TNP,1.019056,3.078239453,8,0.70106,,,,
R15,PE,1.278578,2.841655033,8,0.6934,,,,
R16,PE,0.9647843,2.130627451,8,1.071,,,,
R17,PE,2.320551,6.323499227,24,0.78287,,,,
R18,PE,4.252612,7.422131082,24,0.4028,,,,
R19,TNP,2.542266,8.241068869,24,0.3209,,,,
R20,TNP,3.569945,5.76867991,24,0.9766,,,,
R21,TNP,1.477125,6.781777556,16,0.48012,,,,
R22,TNP,1.031134,4.826479932,16,1.171,,,,
R23,PE,1.102643,4.363997155,16,1.406,,,,
R24,PE,0.9744444,5.681555556,16,0.54,,,,
R25,PE,1.618278,5.409949331,20,0.52695,,,,
R26,PE,2.037921,5.731606299,20,1.016,,,,
R28,TNP,1.997692,6.372892098,20,0.86217,,,,
R29,TNP,0.6912558,4.922930233,12,0.473,,,,
R3,TNP,1.281434,4.279645656,16,1.4675,,,,
R30,TNP,0.5575729,4.947931034,12,0.899,,,,
R31,PE,1.272268,4.123771514,12,0.69676,,,,
R32,PE,1.21349,4.562705363,12,0.43518,,,,
R33,PE,2.604294,5.101214724,24,0.652,,,,
R34,PE,3.433846,6.253822485,24,1.014,,,,
R35,TNP,2.682281,8.052843905,24,0.50764,,,,
R36,TNP,2.038243,6.765332377,24,0.8367,,,,
R37,TNP,1.0152026,1.950377469,8,1.5037,,,,
R38,TNP,0.8321252,2.071974208,8,0.58488,,,,
R39,PE,0.9529902,2.521205207,8,1.2439,,,,
R4,TNP,1.491288,6.08904931,16,0.7605,,,,
R40,PE,0.7866665,2.251812154,8,0.618,,,,
R42,PE,1.851913,5.223391304,20,0.644,,,,
R43,TNP,1.567422,5.285420717,20,0.86942,,,,
R44,TNP,2.092708,6.606539541,20,0.5627,,,,
R46,TNP,1.540778,4.586524887,16,0.884,,,,
R47,PE,1.625497,3.906754491,16,1.169,,,,
R48,PE,1.715544,3.956340862,16,0.487,,,,
R50,PE,2.707031,4.522185567,24,1.5,,,,
R52,TNP,2.516084,6.464842503,24,0.9524,,,,
R53,TNP,0.8520684,3.236200807,12,1.449,,,,
R54,TNP,0.9691257,2.959537331,12,1.461,,,,
R55,PE,0.933531,2.720516706,12,1.328,,,,
R56,PE,0.8599545,3.806009516,12,0.819,,,,
R59,TNP,1.265517,3.570275862,16,1.794,,,,
R6,TNP,1.002714,4.703555665,12,1.0141,,,,
R60,PE,1.40754,4.587179052,16,0.874,,,,
R7,PE,1.050333,NA,12,1.1335,,,,
R8,PE,0.8733228,4.42111811,12,0.762,,,,
